,reviews,calories,calories_unit,carbs,carbs_unit,mash_ph
2995,0,202,calories,21,g,n/a
2996,0,223,calories,20,g,5.58
2997,0,124,calories,13,g,n/a
2998,0,201,calories,19,g,5.71
2999,0,157,calories,14,g,n/a
3000,0,156,calories,13,g,n/a
3001,0,164,calories,16,g,5.75
3002,0,134,calories,13,g,5.4
3003,0,168,calories,17,g,n/a
3004,0,149,calories,13,g,n/a
3005,0,149,calories,16,g,5.06
3006,0,137,calories,12,g,n/a
3007,0,222,calories,29,g,5.34
3008,0,175,calories,18,g,n/a
3009,0,233,calories,24,g,n/a
3010,0,207,calories,20,g,n/a
3011,0,213,calories,19,g,n/a
3012,0,145,calories,15,g,n/a
3013,0,214,calories,24,g,5.45
3014,0,177,calories,17,g,n/a
3015,0,181,calories,18,g,n/a
3016,0,154,calories,14,g,n/a
3017,0,181,calories,18,g,n/a
3018,0,198,calories,20,g,4.85
3019,0,165,calories,17,g,5.46
3020,0,158,calories,16,g,5.88
3021,0,162,calories,17,g,n/a
3022,0,137,calories,12,g,5.4
3023,0,171,calories,16,g,5.42
3024,0,216,calories,19,g,5.37
3025,0,162,calories,13,g,n/a
3026,0,148,calories,15,g,5.72
3027,1,198,calories,20,g,5.35
3028,0,118,calories,13,g,n/a
3029,0,182,calories,19,g,5.59
3030,0,330,calories,31,g,n/a
3031,0,173,calories,19,g,5.71
3032,1,239,calories,25,g,n/a
3033,0,122,calories,9,g,n/a
3034,0,186,calories,17,g,n/a
3035,0,261,calories,25,g,5.42
3036,0,215,calories,26,g,n/a
3037,0,168,calories,17,g,n/a
3038,0,185,calories,18,g,n/a
3039,0,282,calories,27,g,n/a
3040,0,169,calories,18,g,5.64
3041,0,144,calories,14,g,n/a
3042,0,155,calories,15,g,5.86
3043,0,150,calories,15,g,5.78
3044,0,211,calories,19,g,n/a
3045,1,153,calories,18,g,n/a
3046,0,200,calories,18,g,n/a
3047,0,242,calories,25,g,n/a
3048,0,202,calories,21,g,n/a
3049,0,211,calories,20,g,5.25
3050,0,159,calories,8,g,5.62
3051,0,203,calories,18,g,n/a
3052,0,148,calories,15,g,5.37
3053,0,188,calories,20,g,5.46
3054,0,172,calories,17,g,n/a
3055,0,165,calories,17,g,5.67
3056,0,141,calories,14,g,n/a
3057,0,172,calories,17,g,n/a
3058,0,208,calories,21,g,5.65
3059,0,157,calories,14,g,n/a
3060,0,158,calories,16,g,n/a
3061,0,157,calories,14,g,5.4
3062,0,140,calories,13,g,5.49
3063,0,154,calories,14,g,n/a
3064,0,151,calories,15,g,n/a
3065,0,211,calories,19,g,5.39
3066,0,303,calories,34,g,n/a
